source_index,source_name,source_hebrew,source_scope,variant_label,hebrew_variant,note,standard,mispar_gadol,base12_standard,base12_mispar_gadol,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base12_palindrome,mispar_base12_palindrome,final_letter_notes,interesting_hits,gained_against_original,lost_against_original
8,El Elyon,אל עליון,literal-heading,add_ha_after_el,אל העליון,mechanical addition of definite article after El,202,852,14A,5B0,4,6,6,7,no,no,,std-base10-palindrome,std-base10-palindrome,std-collapse-8
9,El Olam,אל עולם,literal-heading,original,אל עולם,paper heading,177,737,129,515,6,8,12,11,no,yes,,mg-base10-palindrome; mg-base12-palindrome; mg-collapse-8; std-base12-collapse-12,,
9,El Olam,אל עולם,literal-heading,remove_initial_el,עולם,mechanical removal of initial El,146,706,102,4AA,11,4,3,6,no,no,,,,mg-base10-palindrome; mg-base12-palindrome; mg-collapse-8; std-base12-collapse-12
9,El Olam,אל עולם,literal-heading,add_ha_after_el,אל העולם,mechanical addition of definite article after El,182,742,132,51A,11,4,6,7,no,no,,,,mg-base10-palindrome; mg-base12-palindrome; mg-collapse-8; std-base12-collapse-12
10,El Roi,אל ראי,literal-heading,original,אל ראי,paper heading,242,242,182,182,8,8,11,11,no,no,,mg-base10-palindrome; mg-collapse-8; std-base10-palindrome; std-collapse-8,,
10,El Roi,אל ראי,literal-heading,remove_initial_el,ראי,mechanical removal of initial El,211,211,157,157,4,4,4,4,no,no,,,,mg-base10-palindrome; mg-collapse-8; std-base10-palindrome; std-collapse-8
10,El Roi,אל ראי,literal-heading,add_ha_after_el,אל הראי,mechanical addition of definite article after El,247,247,187,187,4,4,7,7,no,no,,,,mg-base10-palindrome; mg-collapse-8; std-base10-palindrome; std-collapse-8
11,El Gibbor,אל גבור,literal-heading,original,אל גבור,paper heading,242,242,182,182,8,8,11,11,no,no,,mg-base10-palindrome; mg-collapse-8; std-base10-palindrome; std-collapse-8,,
11,El Gibbor,אל גבור,literal-heading,remove_initial_el,גבור,mechanical removal of initial El,211,211,157,157,4,4,4,4,no,no,,,,mg-base10-palindrome; mg-collapse-8; std-base10-palindrome; std-collapse-8
11,El Gibbor,אל גבור,literal-heading,add_ha_after_el,אל הגבור,mechanical addition of definite article after El,247,247,187,187,4,4,7,7,no,no,,,,mg-base10-palindrome; mg-collapse-8; std-base10-palindrome; std-collapse-8
12,El Yeshuati,אל ישועתי,literal-heading,original,אל ישועתי,paper heading,827,827,58B,58B,8,8,6,6,no,no,,mg-collapse-8; std-collapse-8,,
12,El Yeshuati,אל ישועתי,literal-heading,remove_initial_el,ישועתי,mechanical removal of initial El,796,796,564,564,4,4,6,6,no,no,,,,mg-collapse-8; std-collapse-8
12,El Yeshuati,אל ישועתי,literal-heading,add_ha_after_el,אל הישועתי,mechanical addition of definite article after El,832,832,594,594,4,4,9,9,no,no,,,,mg-collapse-8; std-collapse-8
13,Shekhinah,שכינה,literal-heading,original,שכינה,paper heading,385,385,281,281,7,7,11,11,no,no,,,,
13,Shekhinah,שכינה,literal-heading,hashekhinah_specific,השכינה,specific candidate for the intended Shekhinah 12-collapse claim,390,390,286,286,12,12,7,7,no,no,,mg-collapse-12; std-collapse-12,mg-collapse-12; std-collapse-12,
